"id", "name", "type", "number"
5758500,"Soul Release",Spell Card,1
92924317,"Soul Resurrection",Trap Card,1
77527210,"Soul of Purity and Light",Effect Monster,1
58551308,"Spear Cretin",Flip Effect Monster,1
31553716,"Spear Dragon",Effect Monster,1
42598242,"Special Hurricane",Spell Card,1
51481927,"Spell Absorption",Spell Card,1
1669772,"Spell Purification",Trap Card,1
29228529,"Spell Reproduction",Spell Card,1
38275183,"Spell Shield Type-8",Trap Card,1
18807109,"Spellbinding Circle",Trap Card,1
53239672,"Spirit Barrier",Trap Card,1
48659020,"Spirit Caller",Flip Effect Monster,1
23205979,"Spirit Reaper",Effect Monster,1
13522325,"Spirit of Flames",Effect Monster,1
15866454,"Spiritualism",Spell Card,1
8201910,"Star Boy",Effect Monster,1
3510565,"Stealth Bird",Effect Monster,1
13599884,"Steel Scorpion",Effect Monster,1
60764581,"Stray Lambs",Spell Card,1
41006930,"Strike Ninja",Effect Monster,1
34646691,"Stumbling",Spell Card,1
14644902,"Summoner of Illusions",Flip Effect Monster,1
27770341,"Super Rejuvenation",Spell Card,1
40473581,"Susa Soldier",Spirit Monster,1
41872150,"Swarm of Locusts",Effect Monster,1
15383415,"Swarm of Scarabs",Effect Monster,1
16589042,"Swift Gaia the Fierce Knight",Effect Monster,1
12923641,"Swords of Concealing Light",Spell Card,1
72302403,"Swords of Revealing Light",Spell Card,1
73628505,"Terraforming",Spell Card,1
35975813,"Terrorking Archfiend",Effect Monster,1
61505339,"The Creator",Effect Monster,1
97093037,"The Creator Incarnate",Effect Monster,1
30606547,"The Dark Door",Spell Card,1
93346024,"The Dragon Dwelling in the Cave",Normal Monster,1
65403020,"The End of Anubis",Effect Monster,1
66362965,"The Fiend Megacyber",Effect Monster,1
42829885,"The Forceful Sentry",Spell Card,1
1525329,"The Hunter with 7 Weapons",Effect Monster,1
3643300,"The Legendary Fisherman",Effect Monster,1
296499,"The Regulation of Tribe",Trap Card,1
76305638,"The Rock Spirit",Effect Monster,1
43434803,"The Shallow Grave",Spell Card,1
99517131,"The Spell Absorbing Life",Trap Card,1
38479725,"The Trojan Horse",Effect Monster,1
95281259,"The Warrior Returning Alive",Spell Card,1
6285791,"The Wicked Worm Beast",Effect Monster,1
26205777,"Thestalos the Firestorm Monarch",Effect Monster,1
36361633,"Threatening Roar",Trap Card,1
70797118,"Thunder Nyan Nyan",Effect Monster,1
91781589,"Thunder of Ruler",Trap Card,1
35316708,"Time Seal",Trap Card,1
71625222,"Time Wizard",Effect Monster,1
82003859,"Toll",Spell Card,1
79875176,"Toon Cannon Soldier",Toon Monster,1
42386471,"Toon Gemini Elf",Toon Monster,1
15270885,"Toon Goblin Attack Force",Toon Monster,1
89997728,"Toon Table of Contents",Spell Card,1
71283180,"Tornado Bird",Flip Effect Monster,1
18605135,"Tornado Wall",Trap Card,1
53582587,"Torrential Tribute",Trap Card,1
64697231,"Trap Dustshoot",Trap Card,1
4206964,"Trap Hole",Trap Card,1
19252988,"Trap Jammer",Trap Card,1
46461247,"Trap Master",Flip Effect Monster,1
46918794,"Tremendous Fire",Spell Card,1
33184167,"Tribe-Infecting Virus",Effect Monster,1
79759861,"Tribute to the Doomed",Spell Card,1
34853266,"Tsukuyomi",Spirit Monster,1
43586926,"Twin-Headed Behemoth",Effect Monster,1
94568601,"Tyrant Dragon",Effect Monster,1
60806437,"UFO Turtle",Effect Monster,1
67934141,"Ultimate Baseball Kid",Effect Monster,1
80604092,"Ultimate Offering",Trap Card,1
22702055,"Umi",Spell Card,1
82999629,"Umiiruka",Spell Card,1
56747793,"United We Stand",Spell Card,1
70368879,"Upstart Goblin",Spell Card,1
56387350,"Vampire Baby",Effect Monster,1
53839837,"Vampire Lord",Effect Monster,1
46571052,"Vampiric Orchis",Effect Monster,1
12607053,"Waboku",Trap Card,1
13945283,"Wall of Illusion",Effect Monster,1
17078030,"Wall of Revealing Light",Trap Card,1
38992735,"Wave-Motion Cannon",Spell Card,1
15090429,"Whirlwind Prodigy",Effect Monster,1
9786492,"White Dragon Ritual",Spell Card,1
15150365,"White Magical Hat",Effect Monster,1
81383947,"White Magician Pikeru",Effect Monster,1
1571945,"White Ninja",Flip Effect Monster,1
77754944,"Widespread Ruin",Trap Card,1
61166988,"Wild Nature's Release",Spell Card,1
59744639,"Windstorm of Etaqua",Trap Card,1
57116033,"Winged Kuriboh",Effect Monster,1
87523462,"Winged Sage Falcos",Effect Monster,1
78010363,"Witch of the Black Forest",Effect Monster,1
80741828,"Witch's Apprentice",Effect Monster,1
76515293,"Xing Zhen Hu",Trap Card,1
65622692,"Y-Dragon Head",Union Effect Monster,1
76862289,"Yamata Dragon",Spirit Monster,1
3078576,"Yata-Garasu",Spirit Monster,1
51534754,"Yomi Ship",Effect Monster,1
64500000,"Z-Metal Tank",Union Effect Monster,1
51945556,"Zaborg the Thunder Monarch",Effect Monster,1
83133491,"Zero Gravity",Trap Card,1
16268841,"Zolga",Effect Monster,1
47693640,"Zombie Tiger",Union Effect Monster,1
